,Access_Level,Training_Completed,Code_postal,Email_Domain,EmployeeTargeted,Gender,Social_Media,behaviorPattern2,peerUsageMetric6,usageMetric2,usageMetric5,fraudTraining
8014,3,0.0,39998,si.edu,1.0,0,1.0,2,6,1,4,0
13413,4,0.0,24999,si.edu,1.0,1,0.0,1,0,0,7,1
2734,4,0.0,24999,google.co.uk,1.0,1,4.0,1,0,1,7,1
10732,5,1.0,24999,ox.ac.uk,1.0,1,0.0,0,5,1,6,1
10212,0,1.0,69996,si.edu,0.0,0,0.0,1,0,0,1,0
13091,2,1.0,10000,ox.ac.uk,1.0,1,0.0,2,1,0,7,1
6799,4,1.0,10000,google.co.uk,1.0,0,0.0,0,5,0,7,1
9166,3,0.0,39998,slideshare.net,1.0,0,1.0,0,1,2,2,0
2239,5,1.0,24999,slideshare.net,1.0,1,,1,5,0,4,0
11880,1,0.0,54997,si.edu,1.0,1,0.0,1,6,0,3,0
2899,1,1.0,54997,si.edu,1.0,1,1.0,1,3,1,4,0
4618,0,1.0,84995,ehow.com,1.0,0,0.0,0,1,2,2,0
3657,3,0.0,39998,google.co.uk,1.0,1,0.0,1,1,0,7,1
4722,2,0.0,10000,google.co.uk,1.0,1,2.0,2,1,1,7,1
12054,0,1.0,24999,si.edu,1.0,1,1.0,2,5,0,0,1
12669,3,1.0,54997,si.edu,1.0,1,0.0,1,5,2,7,0
11302,3,1.0,39998,si.edu,1.0,1,1.0,1,1,1,0,1
3135,6,0.0,39998,slideshare.net,1.0,0,0.0,1,1,1,3,1
3512,3,0.0,10000,slideshare.net,1.0,1,1.0,0,6,1,6,0
11761,2,1.0,39998,ehow.com,0.0,0,0.0,0,1,0,7,1
2900,2,0.0,69996,slideshare.net,0.0,0,1.0,1,5,0,0,1
3071,4,0.0,10000,si.edu,1.0,0,2.0,1,2,0,2,0
6236,0,0.0,10000,,0.0,0,1.0,1,1,0,7,1
1217,3,0.0,39998,google.co.uk,1.0,0,0.0,0,3,2,5,1
12467,3,0.0,24999,ehow.com,1.0,0,,0,2,1,5,0
1785,0,,24999,ox.ac.uk,1.0,1,0.0,2,3,0,1,0
10049,1,0.0,10000,si.edu,1.0,0,0.0,1,6,0,2,0
9673,4,0.0,24999,si.edu,1.0,1,0.0,0,3,1,3,1
6261,1,0.0,10000,ehow.com,1.0,0,1.0,2,4,0,1,0
8181,3,1.0,10000,si.edu,1.0,1,0.0,0,2,0,5,0
5332,4,1.0,84995,si.edu,0.0,0,3.0,1,6,0,7,1
4410,3,1.0,10000,ox.ac.uk,1.0,1,1.0,1,1,1,6,0
7406,3,1.0,39998,slideshare.net,0.0,0,1.0,0,0,0,6,0
6612,1,0.0,10000,ox.ac.uk,1.0,1,1.0,2,0,0,0,1
9316,2,0.0,84995,si.edu,0.0,0,1.0,1,1,2,0,0
13051,3,1.0,54997,google.co.uk,1.0,1,2.0,2,4,0,5,0
1081,3,0.0,84995,ehow.com,0.0,0,2.0,0,0,2,3,1
7922,0,0.0,10000,slideshare.net,1.0,0,0.0,3,5,0,2,0
2393,2,1.0,24999,google.co.uk,1.0,0,3.0,1,4,0,1,1
7950,1,0.0,39998,si.edu,1.0,1,2.0,1,1,0,2,1
6457,5,1.0,10000,slideshare.net,1.0,1,2.0,3,4,0,4,1
7374,0,0.0,84995,si.edu,0.0,0,1.0,0,6,1,1,0
3805,6,0.0,84995,google.co.uk,0.0,0,2.0,1,5,2,6,0
465,4,1.0,24999,si.edu,1.0,0,2.0,2,5,1,3,1
8000,5,1.0,54997,ox.ac.uk,1.0,1,1.0,0,6,0,5,0
11952,2,0.0,24999,ehow.com,1.0,0,2.0,0,0,0,2,0
13653,0,0.0,39998,si.edu,1.0,1,0.0,0,6,0,5,1
6042,2,0.0,10000,google.co.uk,1.0,0,0.0,1,6,0,0,0
5965,3,0.0,84995,si.edu,0.0,1,1.0,1,1,1,7,1
12716,3,0.0,24999,slideshare.net,1.0,0,0.0,2,0,0,4,0
6212,4,1.0,39998,ox.ac.uk,0.0,1,2.0,1,1,1,4,1
8699,7,1.0,24999,slideshare.net,0.0,0,0.0,2,5,0,7,0
4687,4,0.0,10000,ox.ac.uk,1.0,0,1.0,1,1,1,0,0
1267,2,0.0,24999,ox.ac.uk,0.0,0,1.0,1,1,0,6,1
7619,4,1.0,10000,slideshare.net,1.0,0,2.0,0,2,2,4,0
3455,1,0.0,10000,google.co.uk,1.0,0,,0,5,0,1,0
13430,3,1.0,84995,slideshare.net,0.0,0,1.0,1,6,1,4,1
6472,3,1.0,84995,ox.ac.uk,0.0,0,1.0,3,1,0,4,0
6877,1,0.0,54997,nsw.gov.au,0.0,0,2.0,1,0,1,3,1
8120,1,0.0,69996,slideshare.net,0.0,0,2.0,0,0,1,0,1
5009,5,0.0,69996,si.edu,0.0,0,0.0,0,3,3,2,1
7967,2,0.0,10000,,1.0,0,,1,1,0,1,0
11288,3,,69996,si.edu,1.0,1,0.0,1,5,1,0,0
5432,2,0.0,69996,si.edu,0.0,1,1.0,1,2,1,6,1
12221,1,0.0,10000,si.edu,1.0,1,1.0,0,2,1,2,1
6101,3,1.0,10000,si.edu,1.0,1,1.0,5,0,0,2,1
7547,0,0.0,39998,si.edu,1.0,1,2.0,0,1,1,4,1
1863,0,0.0,10000,ox.ac.uk,1.0,1,1.0,1,3,0,4,0
7262,3,0.0,10000,ox.ac.uk,1.0,1,3.0,1,0,1,1,0
127,4,1.0,24999,si.edu,1.0,0,0.0,0,2,1,0,1
900,2,0.0,39998,google.co.uk,1.0,1,0.0,0,4,1,5,0
9842,2,0.0,10000,ox.ac.uk,1.0,1,0.0,1,5,1,3,1
13472,5,0.0,24999,si.edu,1.0,1,0.0,0,4,1,3,1
13249,0,0.0,69996,slideshare.net,0.0,1,0.0,0,2,0,2,1
567,5,,84995,ehow.com,0.0,0,3.0,2,2,2,2,0
2552,4,1.0,39998,google.co.uk,1.0,1,0.0,0,5,1,0,1
12149,1,1.0,39998,si.edu,1.0,1,1.0,0,4,1,3,0
5307,3,1.0,10000,slideshare.net,1.0,1,0.0,0,5,0,3,1
5169,4,0.0,10000,si.edu,1.0,0,0.0,2,5,0,1,1
5862,1,1.0,10000,slideshare.net,1.0,0,,0,0,1,1,0
12290,4,0.0,10000,ox.ac.uk,1.0,0,0.0,2,6,1,6,1
3667,0,1.0,39998,google.co.uk,1.0,0,0.0,1,0,2,1,0
12954,3,0.0,10000,slideshare.net,1.0,1,2.0,1,1,2,6,1
10681,3,0.0,10000,slideshare.net,1.0,1,0.0,0,6,1,7,0
3653,1,1.0,84995,ehow.com,0.0,1,1.0,0,0,0,2,0
5577,5,0.0,24999,slideshare.net,1.0,1,0.0,1,6,1,0,1
10031,2,0.0,24999,google.co.uk,1.0,1,0.0,1,0,2,1,0
5205,3,0.0,10000,google.co.uk,1.0,0,1.0,1,4,1,7,1
13608,1,1.0,69996,ox.ac.uk,0.0,1,0.0,0,0,0,6,1
9477,5,1.0,84995,slideshare.net,0.0,1,1.0,1,5,0,5,1
10043,5,0.0,69996,ehow.com,1.0,1,0.0,1,6,2,1,0
9694,2,1.0,10000,si.edu,0.0,1,1.0,1,5,2,0,0
5561,0,0.0,24999,slideshare.net,1.0,1,1.0,1,1,0,5,1
11628,2,0.0,24999,slideshare.net,0.0,0,1.0,0,3,0,6,1
7594,5,1.0,24999,si.edu,1.0,0,2.0,0,1,0,4,0
13437,3,1.0,24999,google.co.uk,1.0,1,2.0,1,0,3,7,1
780,2,1.0,39998,si.edu,0.0,0,0.0,1,6,0,4,0
8594,1,1.0,24999,slideshare.net,1.0,1,0.0,1,1,0,3,1
1206,0,0.0,10000,si.edu,1.0,1,0.0,2,4,1,7,1
13875,2,0.0,39998,si.edu,0.0,0,0.0,1,1,0,5,1
1376,0,1.0,39998,nsw.gov.au,1.0,0,0.0,1,1,1,4,0
8406,5,1.0,24999,google.co.uk,1.0,1,2.0,1,0,1,1,1
7608,0,0.0,39998,nsw.gov.au,1.0,1,0.0,2,1,2,6,0
5469,3,1.0,24999,si.edu,1.0,1,0.0,0,4,2,2,0
5134,0,1.0,24999,google.co.uk,0.0,0,0.0,1,5,1,0,1
12297,3,0.0,10000,si.edu,1.0,1,2.0,2,0,1,1,0
5421,4,1.0,24999,si.edu,1.0,0,1.0,0,4,2,5,0
7642,7,0.0,54997,si.edu,1.0,0,1.0,0,3,2,2,0
4716,4,1.0,39998,nsw.gov.au,1.0,1,3.0,0,4,3,2,1
2157,1,0.0,10000,ox.ac.uk,1.0,1,0.0,0,3,1,4,1
8491,3,1.0,39998,si.edu,1.0,1,0.0,0,2,0,1,0
2563,0,0.0,10000,nsw.gov.au,1.0,1,0.0,2,1,0,0,1
2118,1,1.0,24999,si.edu,1.0,1,1.0,0,3,2,7,0
8023,1,1.0,10000,ehow.com,1.0,1,2.0,0,0,0,1,1
6333,2,1.0,84995,si.edu,0.0,0,1.0,3,4,0,6,0
8742,4,0.0,10000,google.co.uk,0.0,1,0.0,1,4,0,6,0
5574,2,1.0,84995,ehow.com,1.0,1,,5,0,1,3,0
10261,3,0.0,24999,ox.ac.uk,1.0,0,0.0,1,0,0,5,1
3255,1,0.0,10000,slideshare.net,1.0,1,0.0,0,1,0,5,1
7535,3,1.0,24999,si.edu,0.0,0,0.0,2,6,0,6,1
8637,1,1.0,39998,ehow.com,1.0,1,2.0,1,1,0,0,0
6438,2,0.0,10000,si.edu,1.0,0,0.0,1,6,0,0,1
5596,5,1.0,39998,si.edu,1.0,1,1.0,0,4,1,0,1
7448,5,1.0,24999,slideshare.net,1.0,0,0.0,0,0,2,4,0
2045,3,1.0,54997,si.edu,0.0,0,0.0,0,0,1,5,0
6089,4,1.0,84995,slideshare.net,1.0,1,1.0,0,2,1,1,0
2138,3,1.0,24999,google.co.uk,1.0,0,2.0,0,4,0,6,0
2870,1,1.0,10000,si.edu,1.0,0,1.0,2,1,0,2,0
8602,2,1.0,10000,si.edu,1.0,0,0.0,3,0,2,0,0
6460,2,1.0,69996,si.edu,0.0,1,2.0,2,0,0,7,0
10546,1,0.0,10000,slideshare.net,1.0,0,1.0,1,1,1,5,1
1879,3,0.0,24999,nsw.gov.au,1.0,0,1.0,0,6,1,5,0
10093,3,0.0,24999,si.edu,1.0,1,1.0,0,5,0,6,1
1532,3,1.0,10000,ox.ac.uk,1.0,0,0.0,0,2,1,5,1
3499,6,0.0,10000,ox.ac.uk,1.0,1,0.0,1,0,1,2,1
10524,3,0.0,10000,slideshare.net,1.0,1,0.0,0,4,0,1,0
3200,1,0.0,10000,google.co.uk,0.0,0,0.0,2,4,0,1,0
10361,1,0.0,24999,si.edu,1.0,0,0.0,0,5,0,2,0
3487,6,0.0,39998,si.edu,1.0,1,1.0,1,2,1,7,0
1061,6,0.0,10000,si.edu,0.0,0,0.0,2,5,0,7,1
3567,1,1.0,39998,slideshare.net,1.0,1,2.0,2,4,0,6,1
2692,3,1.0,24999,slideshare.net,1.0,1,1.0,0,0,1,2,1
10561,5,1.0,24999,google.co.uk,0.0,0,0.0,1,6,0,7,1
8913,2,0.0,84995,ox.ac.uk,0.0,0,4.0,2,4,0,2,0
11494,1,0.0,24999,ehow.com,1.0,0,0.0,1,0,0,1,0
13259,1,0.0,10000,slideshare.net,1.0,0,0.0,1,4,0,5,1
11334,3,1.0,69996,si.edu,0.0,0,1.0,0,3,2,3,0
6984,2,0.0,39998,si.edu,1.0,1,2.0,3,0,0,2,0
12492,3,,10000,si.edu,1.0,0,1.0,1,6,1,7,1
3886,2,1.0,24999,si.edu,1.0,1,0.0,1,6,0,1,0
1850,3,1.0,24999,ehow.com,1.0,1,0.0,1,1,0,7,1
2629,4,1.0,39998,si.edu,0.0,0,0.0,1,1,0,5,0
3617,2,0.0,84995,,0.0,1,5.0,0,5,0,2,1
12488,3,1.0,10000,google.co.uk,1.0,1,1.0,0,6,0,5,0
6573,3,1.0,24999,si.edu,0.0,0,1.0,0,0,0,1,1
240,5,1.0,10000,ox.ac.uk,0.0,0,1.0,2,2,1,4,1
5246,4,0.0,10000,si.edu,1.0,0,0.0,2,5,1,2,0
12786,4,0.0,39998,si.edu,0.0,0,0.0,1,3,0,3,0
3318,0,1.0,69996,si.edu,0.0,0,1.0,0,2,0,2,1
8183,5,1.0,24999,si.edu,1.0,0,,1,6,1,3,0
12570,6,0.0,24999,ox.ac.uk,1.0,0,1.0,1,5,0,6,0
10677,3,,10000,si.edu,1.0,0,2.0,1,4,2,0,1
13046,6,0.0,10000,ox.ac.uk,1.0,1,1.0,1,2,1,7,1
8923,1,1.0,10000,si.edu,1.0,0,0.0,3,4,1,4,1
11779,1,0.0,84995,si.edu,0.0,0,0.0,0,0,1,4,1
8125,5,0.0,10000,google.co.uk,1.0,1,1.0,2,3,0,3,0
8575,0,1.0,39998,si.edu,1.0,1,0.0,0,4,1,1,1
10512,3,0.0,69996,slideshare.net,0.0,0,2.0,2,0,2,4,1
13604,2,1.0,24999,slideshare.net,1.0,1,3.0,0,3,0,5,0
9489,2,1.0,10000,ox.ac.uk,1.0,0,0.0,0,2,1,1,0
6883,3,0.0,84995,slideshare.net,0.0,0,0.0,1,6,0,7,1
9426,7,0.0,24999,si.edu,0.0,1,0.0,0,0,1,3,0
8075,1,0.0,10000,si.edu,1.0,1,1.0,1,4,0,2,0
6891,1,1.0,24999,google.co.uk,1.0,0,1.0,0,1,1,4,0
9091,6,0.0,84995,ox.ac.uk,1.0,1,2.0,1,5,2,7,0
9462,0,0.0,24999,si.edu,1.0,0,0.0,0,6,2,2,0
4575,4,0.0,10000,si.edu,1.0,1,0.0,2,2,0,4,1
2575,1,0.0,24999,slideshare.net,1.0,1,,1,5,0,2,1
9856,3,1.0,24999,ehow.com,1.0,1,0.0,0,1,0,6,1
6660,5,1.0,69996,si.edu,1.0,1,1.0,1,1,0,0,0
1915,2,0.0,69996,si.edu,0.0,0,0.0,1,1,1,6,0
10242,1,0.0,69996,slideshare.net,0.0,1,2.0,3,6,0,1,1
12451,3,1.0,10000,si.edu,1.0,0,0.0,1,3,1,7,0
1534,2,0.0,10000,si.edu,1.0,1,2.0,1,1,0,7,1
10178,2,0.0,54997,si.edu,1.0,0,2.0,0,5,2,1,0
6436,5,1.0,84995,si.edu,0.0,0,0.0,2,3,1,2,0
6034,2,1.0,24999,ehow.com,1.0,0,0.0,3,6,0,2,1
3411,1,1.0,10000,google.co.uk,1.0,0,1.0,0,1,1,6,1
13820,4,0.0,24999,,1.0,0,0.0,2,5,0,2,1
1090,5,0.0,24999,si.edu,1.0,1,1.0,1,0,0,4,1
7373,1,1.0,24999,slideshare.net,1.0,1,1.0,3,6,1,0,1
3954,1,0.0,24999,google.co.uk,1.0,0,0.0,1,4,1,5,0
6902,3,1.0,24999,si.edu,1.0,1,1.0,0,0,0,5,1
2453,5,0.0,39998,slideshare.net,1.0,0,1.0,2,2,0,0,0
5239,0,0.0,39998,si.edu,0.0,0,0.0,2,6,0,2,0
10978,2,0.0,10000,ox.ac.uk,1.0,1,0.0,2,6,1,5,0
11062,3,0.0,84995,google.co.uk,0.0,0,0.0,1,6,0,5,1
6168,5,1.0,39998,ehow.com,0.0,0,3.0,0,1,0,4,1
11899,1,0.0,10000,slideshare.net,0.0,0,1.0,3,2,0,7,1
13943,2,0.0,54997,si.edu,1.0,1,1.0,2,3,1,2,1
12164,2,1.0,10000,slideshare.net,1.0,0,2.0,3,5,1,4,0
7186,2,1.0,24999,slideshare.net,0.0,0,1.0,2,2,0,3,1
5200,1,1.0,10000,slideshare.net,1.0,1,0.0,1,2,2,5,0
12219,3,0.0,10000,,1.0,1,2.0,0,0,0,0,1
1544,2,1.0,24999,si.edu,0.0,0,0.0,1,6,0,2,1
11765,3,0.0,10000,ehow.com,1.0,0,1.0,0,1,1,5,1
8812,4,0.0,10000,slideshare.net,1.0,0,2.0,1,1,0,2,1
9779,0,0.0,10000,nsw.gov.au,0.0,0,3.0,0,5,2,1,0
3789,0,0.0,69996,google.co.uk,0.0,0,1.0,0,4,1,4,1
11912,2,1.0,10000,slideshare.net,1.0,0,0.0,0,6,2,6,0
10842,4,1.0,84995,slideshare.net,1.0,1,2.0,0,4,1,2,0
13584,3,,39998,slideshare.net,0.0,0,1.0,1,2,0,7,1
12007,1,0.0,54997,si.edu,0.0,1,0.0,0,6,0,7,0
2528,6,1.0,10000,ehow.com,1.0,0,1.0,1,0,1,7,0
7384,2,0.0,10000,si.edu,1.0,0,0.0,0,6,0,5,0
11721,0,0.0,54997,slideshare.net,0.0,0,0.0,1,4,0,4,1
6023,2,0.0,69996,slideshare.net,0.0,0,1.0,3,3,0,0,1
496,5,0.0,39998,nsw.gov.au,1.0,0,0.0,1,5,1,2,0
4549,3,0.0,24999,nsw.gov.au,1.0,0,0.0,0,1,1,0,0
4571,5,,10000,slideshare.net,1.0,0,1.0,0,2,1,2,1
4761,1,0.0,84995,ox.ac.uk,0.0,0,0.0,1,3,0,5,0
3158,2,0.0,69996,nsw.gov.au,1.0,1,0.0,0,0,0,3,1
2970,3,0.0,10000,slideshare.net,1.0,0,2.0,1,2,0,3,0
9114,1,0.0,10000,si.edu,1.0,1,1.0,0,4,0,0,0
7661,3,1.0,10000,si.edu,1.0,0,1.0,0,1,0,1,0
11809,0,0.0,24999,ox.ac.uk,1.0,0,0.0,1,1,2,7,0
12061,2,0.0,39998,si.edu,1.0,0,1.0,1,3,2,1,1
4218,1,0.0,24999,si.edu,1.0,1,2.0,1,0,0,1,1
12728,3,1.0,10000,,1.0,1,0.0,1,6,1,4,0
1428,2,0.0,69996,si.edu,1.0,1,0.0,4,1,1,1,1
1138,6,1.0,54997,ehow.com,1.0,0,1.0,0,4,1,0,0
4488,1,1.0,10000,slideshare.net,1.0,1,2.0,2,5,1,2,0
9976,1,0.0,54997,ox.ac.uk,1.0,1,0.0,1,2,2,5,1
6002,3,0.0,24999,slideshare.net,1.0,1,4.0,1,6,1,2,0
13765,2,0.0,39998,si.edu,1.0,1,1.0,2,3,0,1,0
872,2,1.0,10000,si.edu,1.0,0,0.0,0,2,1,3,1
5054,2,1.0,69996,nsw.gov.au,1.0,1,0.0,1,0,0,4,0
10345,3,1.0,54997,slideshare.net,1.0,1,2.0,0,0,0,2,1
5417,3,1.0,24999,si.edu,1.0,0,0.0,1,3,1,0,0
2463,5,0.0,10000,si.edu,1.0,0,0.0,1,3,0,6,0
11929,4,0.0,10000,si.edu,1.0,0,1.0,0,1,3,2,0
4101,3,1.0,24999,slideshare.net,1.0,0,0.0,1,2,2,2,1
10162,3,1.0,10000,si.edu,1.0,0,2.0,1,4,0,1,0
9379,0,0.0,24999,nsw.gov.au,1.0,0,,2,0,0,4,1
12189,1,0.0,54997,si.edu,0.0,1,2.0,0,0,0,5,1
1501,7,0.0,10000,si.edu,1.0,0,0.0,3,2,2,3,1
5082,3,1.0,10000,,1.0,0,,1,1,0,3,1
3637,2,1.0,10000,nsw.gov.au,1.0,0,0.0,1,4,0,2,1
13920,0,1.0,10000,slideshare.net,1.0,0,0.0,2,1,1,5,0
6889,1,,10000,ehow.com,1.0,1,0.0,0,4,0,4,1
7155,1,0.0,10000,si.edu,1.0,1,0.0,0,0,1,1,1
2922,0,,10000,si.edu,1.0,0,0.0,1,4,1,6,0
10107,3,1.0,39998,si.edu,1.0,1,,2,1,1,0,0
3051,1,0.0,10000,si.edu,1.0,0,1.0,0,0,1,6,1
11834,1,0.0,10000,slideshare.net,1.0,1,0.0,3,3,2,5,1
1630,2,1.0,84995,ehow.com,1.0,1,1.0,1,2,1,1,1
7606,3,1.0,10000,si.edu,0.0,1,2.0,2,5,1,7,1
4398,2,0.0,84995,ehow.com,1.0,0,1.0,0,1,2,4,1
3024,2,1.0,39998,slideshare.net,1.0,0,0.0,3,4,1,2,0
4628,3,1.0,39998,slideshare.net,1.0,1,0.0,3,1,1,3,1
8624,0,1.0,10000,google.co.uk,1.0,1,0.0,1,5,3,7,0
5126,2,1.0,24999,si.edu,0.0,0,0.0,1,3,0,5,0
13284,5,1.0,24999,ehow.com,1.0,1,0.0,1,3,0,3,1
12671,2,0.0,54997,nsw.gov.au,1.0,1,0.0,1,3,0,4,0
2919,5,1.0,10000,ox.ac.uk,0.0,0,2.0,1,1,0,1,0
1955,2,1.0,24999,ox.ac.uk,1.0,0,1.0,2,1,1,1,1
11166,1,0.0,54997,si.edu,0.0,0,1.0,1,3,1,4,0
11803,3,0.0,39998,ox.ac.uk,1.0,0,2.0,3,3,1,6,0
1876,1,,54997,si.edu,1.0,1,3.0,2,1,0,7,1
6507,1,0.0,84995,google.co.uk,0.0,0,0.0,1,3,3,7,1
6406,1,0.0,10000,slideshare.net,1.0,0,1.0,0,3,1,5,1
6758,4,0.0,10000,slideshare.net,1.0,1,1.0,1,4,0,6,0
2754,0,0.0,84995,ehow.com,0.0,0,0.0,0,6,1,3,0
3883,7,1.0,10000,slideshare.net,1.0,1,1.0,1,1,3,2,0
13431,3,0.0,69996,si.edu,1.0,0,2.0,0,6,0,6,1
2100,1,1.0,24999,ox.ac.uk,0.0,0,2.0,0,4,0,7,0
4676,3,1.0,24999,google.co.uk,0.0,0,1.0,3,4,0,2,0
11293,1,0.0,10000,google.co.uk,1.0,0,0.0,0,0,1,2,0
8986,2,0.0,39998,slideshare.net,0.0,0,0.0,0,5,1,5,1
1114,0,1.0,10000,si.edu,1.0,0,2.0,1,2,2,1,1
5162,1,1.0,10000,ehow.com,1.0,0,2.0,0,4,1,4,1
11584,1,1.0,10000,slideshare.net,1.0,0,6.0,0,0,2,5,1
212,3,1.0,84995,ehow.com,0.0,1,0.0,0,1,1,4,1
4972,0,0.0,10000,si.edu,1.0,1,0.0,1,4,0,3,0
12819,1,1.0,10000,ox.ac.uk,1.0,1,0.0,0,6,0,0,0
8299,4,1.0,10000,ehow.com,1.0,0,0.0,1,2,1,1,1
721,1,1.0,10000,slideshare.net,1.0,1,1.0,0,4,2,1,0
10229,0,0.0,24999,ox.ac.uk,1.0,1,0.0,3,5,0,3,0
5614,1,0.0,24999,ox.ac.uk,1.0,1,0.0,0,6,0,2,1
6844,1,1.0,10000,si.edu,1.0,1,1.0,0,5,1,3,0
3865,3,1.0,69996,si.edu,0.0,0,3.0,1,3,1,3,0
713,2,1.0,24999,si.edu,0.0,0,2.0,0,0,0,6,0
373,2,0.0,24999,si.edu,1.0,1,1.0,1,4,0,2,1
3130,2,1.0,39998,si.edu,1.0,1,1.0,0,0,0,5,1
546,2,1.0,69996,si.edu,0.0,1,0.0,2,0,1,5,1
2875,1,,10000,si.edu,0.0,0,0.0,1,2,0,7,0
9176,1,0.0,54997,si.edu,0.0,1,0.0,1,3,0,5,1
8557,5,1.0,24999,nsw.gov.au,1.0,0,1.0,0,0,2,6,1
3999,2,0.0,69996,si.edu,1.0,1,0.0,0,5,0,2,0
9352,3,1.0,10000,ox.ac.uk,1.0,0,0.0,1,2,0,3,1
8213,1,0.0,69996,slideshare.net,0.0,1,1.0,2,0,0,5,0
5826,3,0.0,10000,ox.ac.uk,1.0,1,0.0,2,6,0,7,0
11155,4,1.0,54997,ehow.com,0.0,0,1.0,0,1,0,2,1
3493,1,1.0,10000,slideshare.net,0.0,0,1.0,0,6,0,7,0
10649,1,1.0,54997,ehow.com,1.0,1,0.0,1,1,0,2,0
359,5,0.0,54997,google.co.uk,1.0,0,1.0,3,4,2,1,1
3730,3,1.0,10000,si.edu,0.0,0,2.0,0,3,0,5,0
8767,4,0.0,10000,slideshare.net,1.0,1,0.0,1,2,1,7,0
11318,0,0.0,10000,slideshare.net,1.0,1,1.0,2,2,0,3,0
6999,7,1.0,24999,slideshare.net,1.0,1,2.0,0,2,1,4,0
12863,4,,84995,ox.ac.uk,1.0,1,1.0,1,1,3,4,1
2749,1,1.0,10000,slideshare.net,1.0,0,1.0,0,5,0,4,0
4324,4,1.0,24999,si.edu,1.0,1,4.0,0,3,1,4,1
4520,4,0.0,84995,si.edu,1.0,1,2.0,0,4,2,4,0
7737,3,0.0,54997,ox.ac.uk,1.0,1,1.0,0,1,2,5,0
8790,3,0.0,24999,ox.ac.uk,1.0,0,1.0,1,6,0,0,0
6148,1,1.0,24999,nsw.gov.au,1.0,0,2.0,0,4,2,3,1
6119,0,1.0,54997,ehow.com,0.0,0,0.0,0,5,1,1,1
1657,2,1.0,10000,ox.ac.uk,1.0,1,2.0,0,0,0,1,1
905,3,1.0,10000,nsw.gov.au,1.0,0,0.0,1,2,1,6,0
4565,2,1.0,84995,slideshare.net,0.0,0,0.0,2,6,1,1,0
6855,0,1.0,10000,slideshare.net,0.0,0,1.0,0,6,0,6,1
10767,5,0.0,24999,si.edu,1.0,1,2.0,1,1,1,5,0
11312,0,,10000,slideshare.net,1.0,0,0.0,0,1,3,7,0
9656,1,1.0,24999,nsw.gov.au,1.0,1,1.0,2,5,0,4,1
3734,1,0.0,39998,si.edu,0.0,0,2.0,1,5,2,7,1
3968,0,0.0,39998,si.edu,1.0,1,0.0,0,6,1,2,1
3752,2,0.0,54997,ehow.com,1.0,1,1.0,3,3,0,6,0
7281,2,1.0,10000,slideshare.net,1.0,0,3.0,0,2,0,5,1
11562,6,0.0,39998,slideshare.net,1.0,1,1.0,0,0,0,4,0
5517,0,0.0,24999,si.edu,1.0,1,1.0,0,6,0,3,1
2430,4,1.0,10000,ox.ac.uk,1.0,1,0.0,0,3,1,4,1
9,2,1.0,24999,google.co.uk,1.0,1,0.0,0,6,0,1,0
10163,2,0.0,10000,si.edu,1.0,0,0.0,0,1,0,1,1
